5031922AEROLEP                                     aer.inhal.c/adap.x 250ds00047022NNAustral         00016676420220606002060074620107798160690096025010SNN00
9920061AVENO                                       acond.cap.x 250 ml      00000000NNAndr¢maco       00016490020220607001100092006107793742004353000110NNS00
9920683AVENO                                       emuls.x 250 ml          00000000NNAndr¢maco       00023430020220607001100092068307793742004377000110NNS00
9955343AVENO                                       emuls.x 400 ml          00000000NNAndr¢maco       00026900020220607001100095534307793742004391000130NNS00
9926260AVENO                                       gel de limp.x 250 ml    00000000NNAndr¢maco       00019260020220607001100092626007793742004346000110NNS00
9908730AVENO                                       jab.x 120 g             00000000NNAndr¢maco       00009000020220607001100090873007793742004384000110NNS00
9920062AVENO                                       shamp.x 250 ml          00000000NNAndr¢maco       00016490020220607001100092006207793742004360000110NNS00
9952646AVENO INFANTIL                              acond.x 250 ml          00000000NNAndr¢maco       00018640020220607001100095264607793742005442000110NNS00
9958131AVENO INFANTIL                              gel de ba¤o x 250 g     00000000NNAndr¢maco       00017840020220607001100095813107793742005473000110NNS00
9952645AVENO INFANTIL                              shamp.x 250 ml          00000000NNAndr¢maco       00018640020220607001100095264507793742005428000110NNS00
9923944BUSHI                                       Escudo p/formar pez¢n x200000000NNAndr¢maco       00017870020220607001100092394407793742004506000210NNS00
9923942BUSHI                                       Pezonera siliconada x 2 00000000NNAndr¢maco       00014150020220607001100092394207793742004308000210NNS00
9923940BUSHI CREMA                                 pomo x 100 g            00000000NNAndr¢maco       00012760020220607001100092394007793742004100000130NNS00
9923939BUSHI CREMA                                 pomo x 50 g             00000000NNAndr¢maco       00009110020220607001100092393907793742004018000110NNS00
9958768DERMAGLOS C HID + PROT F20                  emulsi¢n x 175 ml       00000000NNAndr¢maco       00016190020220607001100095876807793742007361000110NNS00
9928745DERMAGLOS C HID CR 175 GR                   cr.x 175 g              00000000NNAndr¢maco       00015850020220607001100092874507793742007323000110NNS00
9928746DERMAGLOS C HID EM 300 ML                   emuls.x 300 ml c/b      00000000NNAndr¢maco       00017670020220607001100092874607793742007569000110NNS00
9950067DERMAGLOS C HID INMEDIATA CR 175 GR         cr.x 175 g              00000000NNAndr¢maco       00015850020220607001100095006707793742007330000110NNS00
9957646DERMAGLOS C HID INMEDIATA CR 300 GR         cr.x 300 g              00000000NNAndr¢maco       00021100020220607001100095764607793742007378000110NNS00
9959119DERMAGLOS C HID INMEDIATA SPRAY 175 ML      emuls. x 175 g          00000000NNAndr¢maco       00016320020220607001100095911907793742007668000110NNS00
9955639DERMAGLOS C HID PROFUNDA CR 100 GR          cr.x 100 g              00000000NNAndr¢maco       00012720020220607001100095563907793742007767000110NNS00
9955640DERMAGLOS C HID PROFUNDA CR 200 GR          cr.x 200 g              00000000NNAndr¢maco       00019160020220607001100095564007793742007774000130NNS00
9943563DERMAGLOS C M Y U CR 120 GR                 cr.x 120 g              00000000NNAndr¢maco       00013870020220607001100094356307793742007927000130NNS00
9942298DERMAGLOS C M Y U CR 50 GR                  cr.x 50                 00000000NNAndr¢maco       00008710020220607001100094229807793742007910000110NNS00
9957921DERMAGLOS C PIEL DEL DIABETICO              crema x 100 g           00000000NNAndr¢maco       00017670020220607001100095792107793742007996000110NNS00
9957647DERMAGLOS C PIEL DEL DIABETICO              emulsi¢n x 300 ml       00000000NNAndr¢maco       00026710020220607001100095764707793742007972000130NNS00
9957920DERMAGLOS C PIEL DEL DIABETICO              emulsi¢n x 50 ml        00000000NNAndr¢maco       00010270020220607001100095792007793742007989000110NNS00
9955641DERMAGLOS C REGENERACION INT CR 100 GR      cr.x 100 g              00000000NNAndr¢maco       00015600020220607001100095564107793742007682000110NNS00
9955642DERMAGLOS C REGENERACION INT EM 300 ML      emul.x 300 ml           00000000NNAndr¢maco       00021100020220607001100095564207793742007675000110NNS00
9958835DERMAGLOS F AGUA MICELAR                    loci¢n x 200 ml         00000000NNAndr¢maco       00011220020220607001100095883507793742007415000110NNS00
9958497DERMAGLOS F BB CREAM                        tono claro cr.x 50 g    00000000NNAndr¢maco       00020990020220607001100095849707793742007958000110NNS00
9958498DERMAGLOS F BB CREAM                        tono medio cr.x 50 g    00000000NNAndr¢maco       00020990020220607001100095849807793742007965000110NNS00
9948245DERMAGLOS F CONTORNO OJOS CR 15 GR          cr.x 15 g               00000000NNAndr¢maco       00022010020220607001100094824507793742007613000110NNS00
9957922DERMAGLOS F DESMAQUILLANTE OJOS             loc.x 100 ml            00000000NNAndr¢maco       00011930020220607001100095792207793742005022000110NNS00
9950070DERMAGLOS F DESMAQUILLANTE OJOS             loc.x 120 ml            00000000NNAndr¢maco       00014110020220607001100095007007793742007590000130NNS00
9928743DERMAGLOS F HID F12 P NORMAL CR 50 GR       cr.x 50 g               00000000NNAndr¢maco       00009874120220607001100092874307793742007897000110NNS00
9928744DERMAGLOS F HID F12 P NORMAL EM 75 ML       emuls.x 75 ml           00000000NNAndr¢maco       00022000020220607001100092874407793742007903000110NNS00
9948048DERMAGLOS F HID F20 P NORMAL CR 70 GR       cr.x 70 g               00000000NNAndr¢maco       00022010020220607001100094804807793742002915000110NNS00
9948049DERMAGLOS F HID F20 P NORMAL EM 70 ML       emuls.x 70 ml           00000000NNAndr¢maco       00022010020220607001100094804907793742002922000110NNS00
9943529DERMAGLOS F HID P MIX A GRASA GL 70 GR      gel x 70 g              00000000NNAndr¢maco       00022010020220607001100094352907793742007606000110NNS00
9946389DERMAGLOS F HID P SECA CR 70 GR             cr.x 70 g               00000000NNAndr¢maco       00022010020220607001100094638907793742007637000110NNS00
9938255DERMAGLOS F LECHE LIMP 200 ML               leche x 200 ml          00000000NNAndr¢maco       00013420020220607001100093825507793742005008000110NNS00
9959117DERMAGLOS F LECHE LIMP 200 ML               leche x 200 ml          00000000NNAndr¢maco       00012460020220607001100095911707793742005039000110NNS00
9943528DERMAGLOS F LIMP P MIX A GRASA GL 150 GR    gel x 150 g             00000000NNAndr¢maco       00012470020220607001100094352807793742007583000110NNS00
9950842DERMAGLOS F LIMP P NORMAL GL 150 GR         gel x 150 g             00000000NNAndr¢maco       00012470020220607001100095084207793742007934000110NNS00
9950071DERMAGLOS F MAT P MIX A GRAS F30 CR 50 G    cr.x 50 g               00000000NNAndr¢maco       00022010020220607001100095007107793742007620000110NNS00
9930560DERMAGLOS F NUT P NORMAL CR 70 GR           cr.x 70 g               00000000NNAndr¢maco       00023210020220607001100093056007793742007576000110NNS00
9946388DERMAGLOS F NUT P SECA CR 50 GR             cr.x 50 g               00000000NNAndr¢maco       00023210020220607001100094638807793742007644000110NNS00
9952216DERMAGLOS F ROSACEA                         emulsi¢n x 50 ml        00000000NNAndr¢maco       00030280020220607001100095221607793742007309000110NNS00
9938254DERMAGLOS F TONICO HID 200 ML               t¢nico x 200 ml         00000000NNAndr¢maco       00013420020220607001100093825407793742005015000110NNS00
